"startBP","endBP","British Isles MAP","North & Central Europe MAP","Mediterranean Europe MAP"
8000,7900,0.388510861633643,0.20392999296293,0.411368765468774
7900,7800,0.376742164082045,0.206304214922048,0.390641884277216
7800,7700,0.384039303734554,0.275673657414721,0.429576967553872
7700,7600,0.494491037655483,0.319954820188615,0.536658451803566
7600,7500,0.448796435272515,0.331462575473025,0.574577779344022
7500,7400,0.452624285446205,0.369038604537129,0.61559063211223
7400,7300,0.39788015693453,0.374720446767547,0.596549330111915
7300,7200,0.343790260433778,0.495736063184219,0.57877988248964
7200,7100,0.313221461761569,0.530752991284278,0.476035748720074
7100,7000,0.282167595938928,0.531032395697041,0.430540246430148
7000,6900,0.292414473056738,0.456711605483292,0.369474705757474
6900,6800,0.343110161738406,0.419993224901598,0.416422351709634
6800,6700,0.364920418688855,0.456839919642518,0.472442256150045
6700,6600,0.37614193964786,0.536824648774233,0.480701789049817
6600,6500,0.402411440731026,0.52318517837912,0.453609992968373
6500,6400,0.433311546049689,0.569824456569655,0.525404341154676
6400,6300,0.444339066875322,0.589646665901243,0.519340084559032
6300,6200,0.527721774734844,0.691909641922526,0.604308295531229
6200,6100,0.397215177104834,0.550434764637298,0.475606540584811
6100,6000,0.369510315575931,0.529492991457565,0.457061629394789
6000,5900,0.521902239667578,0.645386862215238,0.562013043446928
5900,5800,0.618202759050483,0.613448091432058,0.507258231503774
5800,5700,0.669947711588325,0.648783336953033,0.528225120587805
5700,5600,0.959703825199604,0.769346095659664,0.622857498802603
5600,5500,1,0.762572668897726,0.545436077676463
5500,5400,0.81547277687935,0.690786044757061,0.484072410466563
5400,5300,0.707803249542689,0.648309126958289,0.439839812720734
5300,5200,0.440826948911928,0.530405983856788,0.375473846145787
5200,5100,0.420423934597165,0.522292036704295,0.367298632660236
5100,5000,0.407775063943751,0.544095484394631,0.387359364117105
5000,4900,0.42815917390586,0.648593430879712,0.4594536599077
4900,4800,0.548503426431838,0.783787557187884,0.639614786658336
4800,4700,0.424884103234244,0.644545395596291,0.584881210373842
4700,4600,0.369614576828647,0.610707933395703,0.550908285809476
4600,4500,0.441802578000214,0.609901313666515,0.655980994590879
4500,4400,0.552049489862867,0.675667046661851,0.724105280350517
4400,4300,0.569946718323192,0.62596808058914,0.551228540923503
4300,4200,0.640255316324063,0.571234697466529,0.494256409139242
4200,4100,0.701621795922395,0.542316231408636,0.52266371418444
4100,4000,0.757988050553949,0.521766823468276,0.571621643239467
4000,3900,0.844246423763225,0.506689782806883,0.600697577537622
3900,3800,0.815216505728154,0.488355759444227,0.600898554581044
3800,3700,0.780928620386171,0.407732282838505,0.590841308979412
3700,3600,0.820953565530504,0.374686108901871,0.690225418509032
3600,3500,0.736586587321823,0.375014266645164,0.667732081609987
3500,3400,0.689839019420671,0.406357422152566,0.604807185297464
3400,3300,0.650412678094467,0.457095209191186,0.531163245257848
3300,3200,0.52803801475437,0.405865944214333,0.482384412499783
3200,3100,0.31152407053891,0.359909608693822,0.356954748186612
3100,3000,0.271128028614938,0.342120878899108,0.304620862073372
3000,2900,0.345606335663135,0.384506370384165,0.406493071603954
2900,2800,0.328662404833574,0.463675621066844,0.538800246563005
2800,2700,0.306093459027893,0.57507106984534,0.659606180288089
2700,2600,0.0334441153586872,0.324592927366209,0.214619219298368
2600,2500,0,0.328249346975555,0.240713576006633
