"site","lat","long","dates"
2915,53.679,50.674,11
7510,50.6529,48.4717,2
7518,51.9443,51.8555,4
9995,53.0333,60.15,2
9996,54.0333,61.0167,2
9997,54.15,61.0667,2
9998,52.15,60.0167,2
10000,54.0167,61.1167,2
10003,53.0167,60.0833,2
10004,53.05,60.15,3
10006,52.1333,60.0333,7
10007,54.0333,60.05,4
10118,39,72,1
10123,55.15,58.6333,1
10124,53.7167,84.95,1
10143,57.0167,60.5333,1
10154,56.85,62.0833,5
10304,52.9167,50.95,3
10371,52.2833,54.7833,6
14147,37.95,58.23,1
14516,38.2139,62.0379,8
